series_id,serie,fonte,codigo_fonte,unidade,frequencia,conceito,ajuste_sazonal,escopo,data,valor
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2001-12-01,4.7
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-01-01,4.71
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-02-01,4.65
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-03-01,4.81
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-04-01,4.57
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-05-01,4.33
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-06-01,4.53
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-07-01,4.73
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-08-01,5.24
bcb_focus_ipca_12m_ahead,"Focus IPCA expectation 12 months ahead (median, smoothed)",Expectativas de Mercado (Focus) — Olinda OData,ExpectativasMercadoInflacao12Meses,percent over next 12 months,monthly,inflation expectation,not seasonally adjusted,Focus survey respondents,2002-09-01,5.64
